timestamp,distance_cm,is_obstacle,obstacle_level,trigger_pin,echo_pin
2025-07-23T18:04:41.656886,157.47,False,clear,23,24
2025-07-23T18:04:42.158110,153.43,False,clear,23,24
2025-07-23T18:04:42.658835,161.56,False,clear,23,24
2025-07-23T18:04:43.159404,167.82,False,clear,23,24
2025-07-23T18:04:43.659881,167.16,False,clear,23,24
2025-07-23T18:04:44.160302,166.5,False,clear,23,24
2025-07-23T18:04:44.661054,168.99,False,clear,23,24
2025-07-23T18:04:45.161648,174.16,False,clear,23,24
2025-07-23T18:04:45.662550,172.1,False,clear,23,24
2025-07-23T18:04:46.163214,177.15,False,clear,23,24
2025-07-23T18:04:46.663912,179.24,False,clear,23,24
2025-07-23T18:04:47.164847,181.89,False,clear,23,24
2025-07-23T18:04:47.665603,188.0,False,clear,23,24
2025-07-23T18:04:48.166382,28.46,True,close,23,24
2025-07-23T18:04:49.491589,45.78,True,medium,23,24
2025-07-23T18:04:49.992120,63.4,True,far,23,24
2025-07-23T18:04:50.492779,69.9,True,far,23,24
2025-07-23T18:04:50.993386,83.12,True,far,23,24
2025-07-23T18:04:51.493907,102.05,False,clear,23,24
2025-07-23T18:04:51.994500,109.35,False,clear,23,24
2025-07-23T18:04:52.495043,112.95,False,clear,23,24
2025-07-23T18:04:52.995572,30.43,True,medium,23,24
2025-07-23T18:04:53.496376,43.02,True,medium,23,24
2025-07-23T18:04:54.685610,58.6,True,medium,23,24
2025-07-23T18:04:55.186349,74.76,True,far,23,24
2025-07-23T18:04:55.686881,81.64,True,far,23,24
2025-07-23T18:04:56.187649,99.61,True,far,23,24
2025-07-23T18:04:56.688232,101.92,False,clear,23,24
2025-07-23T18:04:57.189198,106.97,False,clear,23,24
2025-07-23T18:04:57.689789,115.16,False,clear,23,24
2025-07-23T18:04:58.190325,125.46,False,clear,23,24
2025-07-23T18:04:58.690776,127.36,False,clear,23,24
2025-07-23T18:04:59.191670,138.75,False,clear,23,24
2025-07-23T18:04:59.692477,138.37,False,clear,23,24
2025-07-23T18:05:00.193140,137.1,False,clear,23,24
2025-07-23T18:05:00.693774,141.88,False,clear,23,24
2025-07-23T18:05:01.194471,24.77,True,close,23,24
